time,GroundwaterBalanceIn (Q inf),GroundwaterBalanceOut (Qext),GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,RiverAquiferFlow,RiverAquiferHeadDifference,RiverIntakeDischarge
2000-01-01 00:00:00,6.5281,8.53,4.2,6.1281,52500000,1.48,3.7,0
2000-01-08 00:00:00,10.546799,8.48,4.3,6.1281,53749999.986921,1.52,3.8,4.018699
2000-01-15 00:00:00,8.48,8.48,4.3,6.1281,53749999.986921,1.52,3.8,1.9519
2000-01-22 00:00:00,8.48,8.48,4.3,6.1281,53749999.986921,1.52,3.8,1.9519
2000-01-29 00:00:00,8.48,8.48,4.3,6.1281,53749999.986921,1.52,3.8,1.9519
2000-02-05 00:00:00,8.48,8.48,4.3,1.92,53749999.986921,1.52,3.8,6.16
2000-02-12 00:00:00,8.48,8.48,4.3,0.192,53749999.986921,1.52,3.8,7.888
2000-02-19 00:00:00,8.48,8.48,4.3,0.0192,53749999.986921,1.52,3.8,8.0608
2000-02-26 00:00:00,8.48,8.48,4.3,0.00192,53749999.986921,1.52,3.8,8.07808
2000-03-04 00:00:00,8.48,8.48,4.3,4.91,53749999.986921,1.52,3.8,3.17
2000-03-11 00:00:00,8.48,8.48,4.3,4.91,53749999.986921,1.52,3.8,3.17
2000-03-18 00:00:00,8.48,8.48,4.3,4.91,53749999.986921,1.52,3.8,3.17
2000-03-25 00:00:00,8.48,8.48,4.3,4.91,53749999.986921,1.52,3.8,3.17
2000-04-01 00:00:00,8.48,8.48,4.3,3.045,53749999.986921,1.52,3.8,5.035
2000-04-08 00:00:00,8.48,8.48,4.3,3.045,53749999.986921,1.52,3.8,5.035
2000-04-15 00:00:00,8.48,8.48,4.3,3.045,53749999.986921,1.52,3.8,5.035
2000-04-22 00:00:00,8.48,8.48,4.3,3.045,53749999.986921,1.52,3.8,5.035
2000-04-29 00:00:00,8.48,8.48,4.3,3.045,53749999.986921,1.52,3.8,5.035
2000-05-06 00:00:00,8.48,8.48,4.3,1.78,53749999.986921,1.52,3.8,6.3
2000-05-13 00:00:00,8.48,8.48,4.3,1.78,53749999.986921,1.52,3.8,6.3
2000-05-20 00:00:00,14.814085,8.354993,4.612517,1.78,57656458.502168,1.645007,4.112517,12.634085
2000-05-27 00:00:00,17.18,8.180827,5.047933,1.78,63099158.217698,1.819173,4.547933,15
2000-06-03 00:00:00,10.13,8.142359,5.144103,1.73,64301283.389375,1.857641,4.644103,8
2000-06-10 00:00:00,10.13,8.103132,5.242171,1.73,65527133.194013,1.896868,4.742171,8
2000-06-17 00:00:00,10.13,8.06313,5.342174,1.73,66777175.838356,1.93687,4.842174,8
2000-06-24 00:00:00,10.13,8.02234,5.444151,1.73,68051888.776541,1.97766,4.944151,8
2000-07-01 00:00:00,9.205,7.998999,5.502502,0.805,68781278.029708,2.001001,5.002502,8
2000-07-08 00:00:00,9.205,7.975198,5.562005,0.805,69525062.190034,2.024802,5.062005,8
2000-07-15 00:00:00,9.205,7.950927,5.622682,0.805,70283525.348308,2.049073,5.122682,8
2000-07-22 00:00:00,9.205,8.945913,5.635218,0.805,70440221.139212,2.054087,5.135218,8
2000-07-29 00:00:00,9.205,8.9408,5.648001,0.805,70600009.413321,2.0592,5.148001,8
2000-08-05 00:00:00,6.73,8.984431,5.538922,2.33,69236529.440134,2.015569,5.038922,4
2000-08-12 00:00:00,6.73,9.028924,5.427691,2.33,67846140.441239,1.971076,4.927691,4
2000-08-19 00:00:00,2.73,9.153236,5.116909,2.33,63961367.413655,1.846764,4.616909,0
2000-08-26 00:00:00,2.73,9.280002,4.799994,2.33,59999926.256988,1.719998,4.299994,0
2000-09-02 00:00:00,1.09,9.441637,4.395909,0.69,54948856.718029,1.558363,3.895909,0
2000-09-09 00:00:00,1.09,9.606461,3.983848,0.69,49798101.521236,1.393539,3.483848,0
2000-09-16 00:00:00,1.09,8.754802,3.612994,0.69,45162429.373523,1.245198,3.112994,0
2000-09-23 00:00:00,5.09,8.827129,3.432177,0.69,42902213.600766,1.172871,2.932177,4
2000-09-30 00:00:00,5.09,8.900883,3.247791,0.69,40597391.212185,1.099117,2.747791,4
2000-10-07 00:00:00,11.13,8.856891,3.357773,2.73,41972167.694778,1.143109,2.857773,8
2000-10-14 00:00:00,18.13,8.673881,3.815298,2.73,47691228.562822,1.326119,3.315298,15
2000-10-21 00:00:00,18.13,8.487259,4.281853,2.73,53523158.207101,1.512741,3.781853,15
2000-10-28 00:00:00,8.855069,8.48,4.3,2.73,53749999.986921,1.52,3.8,5.725069
2000-11-04 00:00:00,8.48,8.48,4.3,5.657,53749999.986921,1.52,3.8,2.423
2000-11-11 00:00:00,8.48,8.48,4.3,5.657,53749999.986921,1.52,3.8,2.423
2000-11-18 00:00:00,8.48,8.48,4.3,5.657,53749999.986921,1.52,3.8,2.423
2000-11-25 00:00:00,8.48,8.48,4.3,5.657,53749999.986921,1.52,3.8,2.423
2000-12-02 00:00:00,8.48,8.48,4.3,6.8962,53749999.986921,1.52,3.8,1.1838
2000-12-09 00:00:00,8.48,8.48,4.3,6.8962,53749999.986921,1.52,3.8,1.1838
2000-12-16 00:00:00,8.48,8.48,4.3,6.8962,53749999.986921,1.52,3.8,1.1838
2000-12-23 00:00:00,8.48,8.48,4.3,6.8962,53749999.986921,1.52,3.8,1.1838
2000-12-30 00:00:00,8.48,8.48,4.3,6.8962,53749999.986921,1.52,3.8,1.1838
2001-01-06 00:00:00,8.48,8.48,4.3,4.115,53749999.986921,1.52,3.8,3.965
