time,GroundwaterBalanceIn,GroundwaterBalanceOut,GroundwaterLevel,GroundwaterRechargeCMS,GroundwaterVolume,RiverAquiferFlow,RiverAquiferHeadDifference,RiverIntakeDischarge
2000-01-01 00:00:00,13.730141,8.530000,4.200000,6.128100,52500000.000000,1.480000,3.700000,7.202041
2000-01-08 00:00:00,9.059397,8.509355,4.226613,6.128100,52832665.613897,1.490645,3.726613,2.531297
2000-01-15 00:00:00,9.248907,8.494759,4.263102,6.128100,53288774.334279,1.505241,3.763102,2.720807
2000-01-22 00:00:00,9.539390,8.474143,4.314643,6.128100,53933035.820246,1.525857,3.814643,3.011290
2000-01-29 00:00:00,10.037118,8.443297,4.391758,6.128100,54896979.190011,1.556703,3.891758,3.509018
2000-02-05 00:00:00,6.877731,8.474194,4.314515,1.920000,53931438.240303,1.525806,3.814515,4.557731
2000-02-12 00:00:00,6.117419,8.520706,4.198234,0.192000,52477930.391024,1.479294,3.698234,5.525419
2000-02-19 00:00:00,6.351619,8.563514,4.091214,0.019200,51140176.254286,1.436486,3.591214,5.932419
2000-02-26 00:00:00,6.123373,8.611672,3.970820,0.001920,49635253.194985,1.388328,3.470820,5.721453
2000-03-04 00:00:00,10.166274,8.580991,4.047523,4.910000,50594032.515686,1.419009,3.547523,4.856274
2000-03-11 00:00:00,9.827722,8.556386,4.109035,4.910000,51362936.648035,1.443614,3.609035,4.517722
2000-03-18 00:00:00,9.774602,8.532344,4.169140,4.910000,52114254.433556,1.467656,3.669140,4.464602
2000-03-25 00:00:00,9.971026,8.503951,4.240123,4.910000,53001541.521645,1.496049,3.740123,4.661026
2000-04-01 00:00:00,8.659924,8.500872,4.247819,3.045000,53097735.742479,1.499128,3.747819,5.214924
2000-04-08 00:00:00,9.337288,8.484365,4.289087,3.045000,53613583.646413,1.515635,3.789087,5.892288
2000-04-15 00:00:00,9.395241,8.466389,4.334028,3.045000,54175353.651868,1.533611,3.834028,5.950241
2000-04-22 00:00:00,9.378157,8.448394,4.379014,3.045000,54737673.877836,1.551606,3.879014,5.933157
2000-04-29 00:00:00,9.247896,8.432616,4.418460,3.045000,55230755.052815,1.567384,3.918460,5.802896
2000-05-06 00:00:00,8.458417,8.432107,4.419733,1.780000,55246667.308029,1.567893,3.919733,6.278417
2000-05-13 00:00:00,8.977694,8.421339,4.446652,1.780000,55583150.794815,1.578661,3.946652,6.797694
2000-05-20 00:00:00,9.971842,8.390739,4.523152,1.780000,56539402.088935,1.609261,4.023152,7.791842
2000-05-27 00:00:00,12.178543,8.315985,4.710038,1.780000,58875477.354746,1.684015,4.210038,9.998543
2000-06-03 00:00:00,8.769248,8.307039,4.732402,1.730000,59155021.218951,1.692961,4.232402,6.639248
2000-06-10 00:00:00,9.394945,8.285569,4.786078,1.730000,59825971.932941,1.714431,4.286078,7.264945
2000-06-17 00:00:00,9.919814,8.253316,4.866710,1.730000,60833869.706825,1.746684,4.366710,7.789814
2000-06-24 00:00:00,10.130000,8.216279,4.959303,1.730000,61991288.051238,1.783721,4.459303,8.000000
2000-07-01 00:00:00,9.205000,8.196766,5.008085,0.805000,62601067.911790,1.803234,4.508085,8.000000
2000-07-08 00:00:00,9.205000,8.176868,5.057831,0.805000,63222882.143112,1.823132,4.557831,8.000000
2000-07-15 00:00:00,9.205000,8.156577,5.108557,0.805000,63856968.236473,1.843423,4.608557,8.000000
2000-07-22 00:00:00,9.205000,9.155621,5.110947,0.805000,63886832.315320,1.844379,4.610947,8.000000
2000-07-29 00:00:00,9.205000,9.154647,5.113383,0.805000,63917285.783775,1.845353,4.613383,8.000000
2000-08-05 00:00:00,6.730000,9.202499,4.993753,2.330000,62421918.496675,1.797501,4.493753,4.000000
2000-08-12 00:00:00,6.730000,9.251295,4.871763,2.330000,60897039.310626,1.748705,4.371763,4.000000
2000-08-19 00:00:00,2.730000,9.379996,4.550010,2.330000,56875121.759408,1.620004,4.050010,0.000000
2000-08-26 00:00:00,2.730000,9.511237,4.221906,2.330000,52773829.435620,1.488763,3.721906,0.000000
2000-09-02 00:00:00,1.090000,9.677435,3.806412,0.690000,47580148.690636,1.322565,3.306412,0.000000
2000-09-09 00:00:00,1.090000,9.846913,3.382717,0.690000,42283967.778006,1.153087,2.882717,0.000000
2000-09-16 00:00:00,1.090000,9.000000,3.000000,0.690000,37499999.863899,1.000000,2.500000,0.000000
2000-09-23 00:00:00,5.090000,9.077166,2.807085,0.690000,35088561.723839,0.922834,2.307085,4.000000
2000-09-30 00:00:00,5.090000,9.155855,2.610363,0.690000,32629532.506779,0.844145,2.110363,4.000000
2000-10-07 00:00:00,11.130000,9.116894,2.707765,2.730000,33847058.805758,0.883106,2.207765,8.000000
2000-10-14 00:00:00,18.130000,8.939015,3.152461,2.730000,39405766.110460,1.060985,2.652461,15.000000
2000-10-21 00:00:00,17.158763,8.776794,3.558014,2.730000,44475180.641316,1.223206,3.058014,14.028763
2000-10-28 00:00:00,12.525122,8.702819,3.742953,2.730000,46786909.669556,1.297181,3.242953,9.395122
2000-11-04 00:00:00,11.301247,8.651537,3.871156,5.657000,48389453.993395,1.348463,3.371156,5.244247
2000-11-11 00:00:00,10.004924,8.624828,3.937931,5.657000,49224136.365020,1.375172,3.437931,3.947924
2000-11-18 00:00:00,9.417240,8.609189,3.977028,5.657000,49712845.645367,1.390811,3.477028,3.360240
2000-11-25 00:00:00,9.078103,8.599935,4.000163,5.657000,50002041.696286,1.400065,3.500163,3.021103
2000-12-02 00:00:00,10.089724,8.570533,4.073668,6.896200,50920848.808820,1.429467,3.573668,2.793524
2000-12-09 00:00:00,10.025573,8.541817,4.145458,6.896200,51818224.715315,1.458183,3.645458,2.729373
2000-12-16 00:00:00,10.088098,8.511300,4.221750,6.896200,52771872.247498,1.488700,3.721750,2.791898
2000-12-23 00:00:00,10.300664,8.475986,4.310035,6.896200,53875437.586521,1.524014,3.810035,3.004464
2000-12-30 00:00:00,10.782125,8.430473,4.423817,6.896200,55297716.938114,1.569527,3.923817,3.485925
2001-01-06 00:00:00,9.256409,8.414173,4.464568,4.115000,55807101.317876,1.585827,3.964568,4.741409
