Time,GroundwaterRechargeMMS,PumpDischarge,RiverStage,GroundwaterExtractionCMS,GroundwaterLevel,GroundwaterLevel_min,GroundwaterLevel_max,RiverIntakeMax,GroundwaterFlow
2000-01-01 00:00:00,0.000122562,0.5,0.5,10.01,4.2,3.5,4.8,15.01,0.4
2000-01-08 00:00:00,0.000122562,,0.5,10,,3.5,4.8,15,0.4
2000-01-15 00:00:00,0.000122562,,0.5,10,,3.5,4.8,15,0.4
2000-01-22 00:00:00,0.000122562,,0.5,10,,3.5,4.8,15,0.4
2000-01-29 00:00:00,0.000122562,,0.5,10,,3.5,4.8,15,0.4
2000-02-05 00:00:00,0.0000384,,0.5,10,,3.5,4.8,15,0.4
2000-02-12 00:00:00,0.00000384,,0.5,10,,3.5,4.8,15,0.4
2000-02-19 00:00:00,0.000000384,,0.5,10,,3.5,4.8,15,0.4
2000-02-26 00:00:00,0.0000000384,,0.5,10,,3.5,4.8,15,0.4
2000-03-04 00:00:00,0.0000982,,0.5,10,,3.5,4.8,15,0.4
2000-03-11 00:00:00,0.0000982,,0.5,10,,3.5,4.8,15,0.4
2000-03-18 00:00:00,0.0000982,,0.5,10,,3.5,4.8,15,0.4
2000-03-25 00:00:00,0.0000982,,0.5,10,,3.5,4.8,15,0.4
2000-04-01 00:00:00,0.0000609,,0.5,10,,3.5,4.8,15,0.4
2000-04-08 00:00:00,0.0000609,,0.5,10,,3.8,4.8,15,0.4
2000-04-15 00:00:00,0.0000609,,0.5,10,,3.9,4.8,15,0.4
2000-04-22 00:00:00,0.0000609,,0.5,10,,4,4.8,15,0.4
2000-04-29 00:00:00,0.0000609,,0.5,10,,4,4.8,15,0.4
2000-05-06 00:00:00,0.0000356,,0.5,10,,4,4.8,15,0.4
2000-05-13 00:00:00,0.0000356,,0.5,10,,4,4.8,15,0.4
2000-05-20 00:00:00,0.0000356,,0.5,10,,4,4.8,15,0.4
2000-05-27 00:00:00,0.0000356,,0.5,10,,4,4.8,15,0.4
2000-06-03 00:00:00,0.0000346,,0.5,10,,4,4.8,8,0.4
2000-06-10 00:00:00,0.0000346,,0.5,10,,4,4.8,8,0.4
2000-06-17 00:00:00,0.0000346,,0.5,10,,4,4.8,8,0.4
2000-06-24 00:00:00,0.0000346,,0.5,10,,4,4.8,8,0.4
2000-07-01 00:00:00,0.0000161,,0.5,10,,4,4.8,8,0.4
2000-07-08 00:00:00,0.0000161,,0.5,10,,4,4.8,8,0.4
2000-07-15 00:00:00,0.0000161,,0.5,10,,4,4.8,8,0.4
2000-07-22 00:00:00,0.0000161,,0.5,11,,3.8,4.8,8,0.4
2000-07-29 00:00:00,0.0000161,,0.5,11,,3.6,4.8,8,0.4
2000-08-05 00:00:00,0.0000466,,0.5,11,,3.2,4.8,4,0.4
2000-08-12 00:00:00,0.0000466,,0.5,11,,3,4.8,4,0.4
2000-08-19 00:00:00,0.0000466,,0.5,11,,3,4.8,0,0.4
2000-08-26 00:00:00,0.0000466,,0.5,11,,3,4.8,0,0.4
2000-09-02 00:00:00,0.0000138,,0.5,11,,3,4.8,0,0.4
2000-09-09 00:00:00,0.0000138,,0.5,11,,3,4.8,0,0.4
2000-09-16 00:00:00,0.0000138,,0.5,10,,3,4.8,0,0.4
2000-09-23 00:00:00,0.0000138,,0.5,10,,3,4.8,4,0.4
2000-09-30 00:00:00,0.0000138,,0.5,10,,3,4.8,4,0.4
2000-10-07 00:00:00,0.0000546,,0.5,10,,3.5,4.8,8,0.4
2000-10-14 00:00:00,0.0000546,,0.5,10,,3.5,4.8,15,0.4
2000-10-21 00:00:00,0.0000546,,0.5,10,,3.5,4.8,15,0.4
2000-10-28 00:00:00,0.0000546,,0.5,10,,3.5,4.8,15,0.4
2000-11-04 00:00:00,0.00011314,,0.5,10,,3.5,4.8,15,0.4
2000-11-11 00:00:00,0.00011314,,0.5,10,,3.5,4.8,15,0.4
2000-11-18 00:00:00,0.00011314,,0.5,10,,3.5,4.8,15,0.4
2000-11-25 00:00:00,0.00011314,,0.5,10,,3.5,4.8,15,0.4
2000-12-02 00:00:00,0.000137924,,0.5,10,,3.5,4.8,15,0.4
2000-12-09 00:00:00,0.000137924,,0.5,10,,3.5,4.8,15,0.4
2000-12-16 00:00:00,0.000137924,,0.5,10,,3.5,4.8,15,0.4
2000-12-23 00:00:00,0.000137924,,0.5,10,,3.5,4.8,15,0.4
2000-12-30 00:00:00,0.000137924,,0.5,10,,3.5,4.8,15,0.4
2001-01-06 00:00:00,0.0000823,,0.5,10,,3.5,4.8,15,0.4
